url	city	state	add	sightings	lat	lon
http://www.ghostsofamerica.com/4/Kentucky_Evarts_ghost_sightings.html	EVARTS	KY	EVARTS, KY	2	36.863889	-83.194167
http://www.ghostsofamerica.com/4/Kentucky_Ezel_ghost_sightings.html	EZEL	KY	EZEL, KY	1	37.892149	-83.445067
http://www.ghostsofamerica.com/4/Kentucky_Fairdale_ghost_sightings.html	FAIRDALE	KY	FAIRDALE, KY	1	38.1051	-85.7589
http://www.ghostsofamerica.com/4/Kentucky_Falmouth_ghost_sightings.html	FALMOUTH	KY	FALMOUTH, KY	9	38.676737	-84.330214
http://www.ghostsofamerica.com/4/Kentucky_Fancy_Farm_ghost_sightings.html	FANCY FARM	KY	FANCY FARM, KY	1	36.799428	-88.791361
http://www.ghostsofamerica.com/4/Kentucky_Farmington_ghost_sightings.html	FARMINGTON	KY	FARMINGTON, KY	2	36.669649	-88.528051
http://www.ghostsofamerica.com/4/Kentucky_Ferguson_ghost_sightings.html	FERGUSON	KY	FERGUSON, KY	3	37.066744	-84.599941
http://www.ghostsofamerica.com/4/Kentucky_Flat_Lick_ghost_sightings.html	FLAT LICK	KY	FLAT LICK, KY	4	36.829984	-83.770031
http://www.ghostsofamerica.com/4/Kentucky_Flatgap_ghost_sightings.html	FLATGAP	KY	FLATGAP, KY	2	37.934257	-82.887386
http://www.ghostsofamerica.com/4/Kentucky_Flatwoods_ghost_sightings.html	FLATWOODS	KY	FLATWOODS, KY	1	38.52258	-82.717108
http://www.ghostsofamerica.com/4/Kentucky_Flemingsburg_ghost_sightings.html	FLEMINGSBURG	KY	FLEMINGSBURG, KY	2	38.4223	-83.733808
http://www.ghostsofamerica.com/4/Kentucky_Florence_ghost_sightings.html	FLORENCE	KY	FLORENCE, KY	2	38.99895	-84.626611
http://www.ghostsofamerica.com/4/Kentucky_Fordsville_ghost_sightings.html	FORDSVILLE	KY	FORDSVILLE, KY	2	37.636164	-86.717487
http://www.ghostsofamerica.com/4/Kentucky_Fort_Campbell_ghost_sightings0.html	FORT CAMPBELL	KY	FORT CAMPBELL, KY	37	36.663447	-87.47739
http://www.ghostsofamerica.com/4/Kentucky_Fort_Knox_ghost_sightings0.html	FORT KNOX	KY	FORT KNOX, KY	38	37.916104	-85.956247
http://www.ghostsofamerica.com/4/Kentucky_Fort_Thomas_ghost_sightings0.html	FORT THOMAS	KY	FORT THOMAS, KY	14	39.075061	-84.447163
http://www.ghostsofamerica.com/4/Kentucky_Frakes_ghost_sightings.html	FRAKES	KY	FRAKES, KY	1	36.642861	-83.927702
http://www.ghostsofamerica.com/4/Kentucky_Frankfort_ghost_sightings.html	FRANKFORT	KY	FRANKFORT, KY	2	38.200906	-84.873284
http://www.ghostsofamerica.com/4/Kentucky_Franklin_ghost_sightings.html	FRANKLIN	KY	FRANKLIN, KY	1	36.722263	-86.577218
http://www.ghostsofamerica.com/4/Kentucky_Ft_Mitchell_ghost_sightings.html	FT MITCHELL	KY	FT MITCHELL, KY	1	39.047205	-84.559917
http://www.ghostsofamerica.com/4/Kentucky_Fulton_ghost_sightings.html	FULTON	KY	FULTON, KY	1	36.504228	-88.874226
http://www.ghostsofamerica.com/4/Kentucky_Gamaliel_ghost_sightings.html	GAMALIEL	KY	GAMALIEL, KY	1	36.639778	-85.796644
http://www.ghostsofamerica.com/4/Kentucky_Georgetown_ghost_sightings.html	GEORGETOWN	KY	GEORGETOWN, KY	8	38.209797	-84.558831
http://www.ghostsofamerica.com/4/Kentucky_Ghent_ghost_sightings.html	GHENT	KY	GHENT, KY	3	38.737563	-85.058284
http://www.ghostsofamerica.com/4/Kentucky_Girdler_ghost_sightings.html	GIRDLER	KY	GIRDLER, KY	2	36.939811	-83.843256
http://www.ghostsofamerica.com/4/Kentucky_Glasgow_ghost_sightings.html	GLASGOW	KY	GLASGOW, KY	3	36.995884	-85.911921
http://www.ghostsofamerica.com/4/Kentucky_Glendale_ghost_sightings.html	GLENDALE	KY	GLENDALE, KY	1	37.601728	-85.905519
http://www.ghostsofamerica.com/4/Kentucky_Gradyville_ghost_sightings.html	GRADYVILLE	KY	GRADYVILLE, KY	1	37.063394	-85.422464
http://www.ghostsofamerica.com/4/Kentucky_Graham_ghost_sightings.html	GRAHAM	KY	GRAHAM, KY	1	37.25171	-87.279719
http://www.ghostsofamerica.com/4/Kentucky_Gray_ghost_sightings.html	GRAY	KY	GRAY, KY	1	36.942589	-84.008263
http://www.ghostsofamerica.com/4/Kentucky_Grayson_ghost_sightings.html	GRAYSON	KY	GRAYSON, KY	4	38.332581	-82.948502
http://www.ghostsofamerica.com/4/Kentucky_Greensburg_ghost_sightings.html	GREENSBURG	KY	GREENSBURG, KY	1	37.260894	-85.498855
http://www.ghostsofamerica.com/4/Kentucky_Greenup_ghost_sightings.html	GREENUP	KY	GREENUP, KY	1	38.573135	-82.830168
http://www.ghostsofamerica.com/4/Kentucky_Greenville_ghost_sightings.html	GREENVILLE	KY	GREENVILLE, KY	5	37.201154	-87.178885
http://www.ghostsofamerica.com/4/Kentucky_Guston_ghost_sightings.html	GUSTON	KY	GUSTON, KY	3	37.892844	-86.221916
http://www.ghostsofamerica.com/4/Kentucky_Guthrie_ghost_sightings.html	GUTHRIE	KY	GUTHRIE, KY	1	36.648378	-87.166392
http://www.ghostsofamerica.com/4/Kentucky_Hagerhill_ghost_sightings.html	HAGERHILL	KY	HAGERHILL, KY	1	37.786206	-82.793494
http://www.ghostsofamerica.com/4/Kentucky_Hanson_ghost_sightings.html	HANSON	KY	HANSON, KY	1	37.417267	-87.480834
http://www.ghostsofamerica.com/4/Kentucky_Hardin_ghost_sightings.html	HARDIN	KY	HARDIN, KY	2	36.764777	-88.295313
http://www.ghostsofamerica.com/4/Kentucky_Hardyville_ghost_sightings.html	HARDYVILLE	KY	HARDYVILLE, KY	1	37.254167	-85.786111
http://www.ghostsofamerica.com/4/Kentucky_Harlan_ghost_sightings.html	HARLAN	KY	HARLAN, KY	2	36.843144	-83.321848
http://www.ghostsofamerica.com/4/Kentucky_Harned_ghost_sightings.html	HARNED	KY	HARNED, KY	1	37.751726	-86.413588
http://www.ghostsofamerica.com/4/Kentucky_Harrodsburg_ghost_sightings.html	HARRODSBURG	KY	HARRODSBURG, KY	2	37.762298	-84.843285
http://www.ghostsofamerica.com/4/Kentucky_Hartford_ghost_sightings.html	HARTFORD	KY	HARTFORD, KY	4	37.451159	-86.90916
http://www.ghostsofamerica.com/4/Kentucky_Hawesville_ghost_sightings.html	HAWESVILLE	KY	HAWESVILLE, KY	1	37.900055	-86.754988
http://www.ghostsofamerica.com/4/Kentucky_Hazard_ghost_sightings.html	HAZARD	KY	HAZARD, KY	4	37.24954	-83.193228
http://www.ghostsofamerica.com/4/Kentucky_Hebron_ghost_sightings.html	HEBRON	KY	HEBRON, KY	1	39.066147	-84.703189
http://www.ghostsofamerica.com/4/Kentucky_Heidrick_ghost_sightings.html	HEIDRICK	KY	HEIDRICK, KY	1	36.882588	-83.878536
http://www.ghostsofamerica.com/4/Kentucky_Henderson_ghost_sightings0.html	HENDERSON	KY	HENDERSON, KY	13	37.836154	-87.590013
http://www.ghostsofamerica.com/4/Kentucky_Hi_Hat_ghost_sightings.html	HI HAT	KY	HI HAT, KY	2	37.391768	-82.729046
http://www.ghostsofamerica.com/4/Kentucky_Hillsboro_ghost_sightings.html	HILLSBORO	KY	HILLSBORO, KY	1	38.293412	-83.658804
http://www.ghostsofamerica.com/4/Kentucky_Hopkinsville_ghost_sightings.html	HOPKINSVILLE	KY	HOPKINSVILLE, KY	2	36.865601	-87.488619
http://www.ghostsofamerica.com/4/Kentucky_Horse_Cave_ghost_sightings.html	HORSE CAVE	KY	HORSE CAVE, KY	5	37.179496	-85.906918
http://www.ghostsofamerica.com/4/Kentucky_Hoskinston_ghost_sightings.html	HOSKINSTON	KY	HOSKINSTON, KY	1	37.077313	-83.391572
http://www.ghostsofamerica.com/4/Kentucky_Hueysville_ghost_sightings.html	HUEYSVILLE	KY	HUEYSVILLE, KY	1	37.49511	-82.843615
http://www.ghostsofamerica.com/4/Kentucky_Hustonville_ghost_sightings.html	HUSTONVILLE	KY	HUSTONVILLE, KY	2	37.473132	-84.815783
http://www.ghostsofamerica.com/4/Kentucky_Hyden_ghost_sightings.html	HYDEN	KY	HYDEN, KY	1	37.160925	-83.373237
http://www.ghostsofamerica.com/4/Kentucky_Independence_ghost_sightings.html	INDEPENDENCE	KY	INDEPENDENCE, KY	1	38.943118	-84.544109
http://www.ghostsofamerica.com/4/Kentucky_Inez_ghost_sightings.html	INEZ	KY	INEZ, KY	3	37.866483	-82.538763
http://www.ghostsofamerica.com/4/Kentucky_Irvine_ghost_sightings.html	IRVINE	KY	IRVINE, KY	2	37.700638	-83.973813
http://www.ghostsofamerica.com/4/Kentucky_Irvington_ghost_sightings.html	IRVINGTON	KY	IRVINGTON, KY	1	37.880343	-86.283862
http://www.ghostsofamerica.com/4/Kentucky_Island_ghost_sightings.html	ISLAND	KY	ISLAND, KY	4	37.445046	-87.143885
http://www.ghostsofamerica.com/4/Kentucky_Jackson_ghost_sightings.html	JACKSON	KY	JACKSON, KY	2	37.553146	-83.383513
http://www.ghostsofamerica.com/4/Kentucky_Jeremiah_ghost_sightings.html	JEREMIAH	KY	JEREMIAH, KY	1	37.16732	-82.92905
http://www.ghostsofamerica.com/4/Kentucky_Junction_City_ghost_sightings.html	JUNCTION CITY	KY	JUNCTION CITY, KY	1	37.586743	-84.793838
http://www.ghostsofamerica.com/4/Kentucky_Keavy_ghost_sightings.html	KEAVY	KY	KEAVY, KY	2	37.003698	-84.161044
http://www.ghostsofamerica.com/4/Kentucky_Keene_ghost_sightings.html	KEENE	KY	KEENE, KY	1	37.943411	-84.641887
http://www.ghostsofamerica.com/4/Kentucky_Kenvir_ghost_sightings.html	KENVIR	KY	KENVIR, KY	1	36.853701	-83.157117
http://www.ghostsofamerica.com/4/Kentucky_Kevil_ghost_sightings.html	KEVIL	KY	KEVIL, KY	1	37.085054	-88.886727
http://www.ghostsofamerica.com/4/Kentucky_La_Grange_ghost_sightings.html	LA GRANGE	KY	LA GRANGE, KY	2	38.407567	-85.378847
http://www.ghostsofamerica.com/4/Kentucky_Lancaster_ghost_sightings.html	LANCASTER	KY	LANCASTER, KY	6	37.619525	-84.577996
http://www.ghostsofamerica.com/4/Kentucky_Langley_ghost_sightings.html	LANGLEY	KY	LANGLEY, KY	3	37.531766	-82.790716
http://www.ghostsofamerica.com/4/Kentucky_Latonia_ghost_sightings.html	LATONIA	KY	LATONIA, KY	4	39.048116	-84.508831
http://www.ghostsofamerica.com/4/Kentucky_Lawrenceburg_ghost_sightings.html	LAWRENCEBURG	KY	LAWRENCEBURG, KY	5	38.037297	-84.896617
http://www.ghostsofamerica.com/4/Kentucky_Leburn_ghost_sightings.html	LEBURN	KY	LEBURN, KY	2	37.348154	-82.955163
http://www.ghostsofamerica.com/4/Kentucky_Leitchfield_ghost_sightings.html	LEITCHFIELD	KY	LEITCHFIELD, KY	1	37.480054	-86.293864
http://www.ghostsofamerica.com/4/Kentucky_Lejunior_ghost_sightings.html	LEJUNIOR	KY	LEJUNIOR, KY	1	36.920165	-83.190305
http://www.ghostsofamerica.com/4/Kentucky_Lewisburg_ghost_sightings.html	LEWISBURG	KY	LEWISBURG, KY	3	36.986434	-86.947219
http://www.ghostsofamerica.com/4/Kentucky_Lewisport_ghost_sightings.html	LEWISPORT	KY	LEWISPORT, KY	2	37.936997	-86.902215
http://www.ghostsofamerica.com/4/Kentucky_Lexington_ghost_sightings.html	LEXINGTON	KY	LEXINGTON, KY	5	38.040584	-84.503716
http://www.ghostsofamerica.com/4/Kentucky_Liberty_ghost_sightings.html	LIBERTY	KY	LIBERTY, KY	5	37.318406	-84.939398
http://www.ghostsofamerica.com/4/Kentucky_Lily_ghost_sightings.html	LILY	KY	LILY, KY	2	37.024533	-84.075209
http://www.ghostsofamerica.com/4/Kentucky_Livermore_ghost_sightings.html	LIVERMORE	KY	LIVERMORE, KY	5	37.493103	-87.131941
http://www.ghostsofamerica.com/4/Kentucky_Lockport_ghost_sightings.html	LOCKPORT	KY	LOCKPORT, KY	1	38.435901	-84.967173
http://www.ghostsofamerica.com/4/Kentucky_London_ghost_sightings.html	LONDON	KY	LONDON, KY	5	37.128977	-84.083265
http://www.ghostsofamerica.com/4/Kentucky_Louisa_ghost_sightings.html	LOUISA	KY	LOUISA, KY	1	38.114254	-82.603212
http://www.ghostsofamerica.com/4/Kentucky_Louisville_ghost_sightings.html	LOUISVILLE	KY	LOUISVILLE, KY	10	38.252665	-85.758456
http://www.ghostsofamerica.com/4/Kentucky_Lovely_ghost_sightings.html	LOVELY	KY	LOVELY, KY	1	37.82593	-82.401257
