city,state,add,city_count,lat,long,the_geom,cartodb_id,created_at,updated_at
Princeton,KY,"Princeton, KY",1,37.025846,-87.716157,0101000020E61000004B732B84D5ED55C0C05DF6EB4E834240,112,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Prospect,KY,"Prospect, KY",1,38.343591,-85.619336,0101000020E6100000124F7633A36755C0981936CAFA2B4340,113,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Providence,KY,"Providence, KY",1,36.666154,-86.677496,0101000020E6100000EFCA2E185CAB55C0BF0CC68844554240,114,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Radcliff,KY,"Radcliff, KY",1,37.830008,-85.963817,0101000020E61000000C957F2DAF7D55C08DB5BFB33DEA4240,115,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Richmond,KY,"Richmond, KY",1,37.749919,-84.293552,0101000020E61000003AEB538EC91255C013D38558FDDF4240,116,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Russell,KY,"Russell, KY",1,38.48392,-82.682758,0101000020E610000046459C4EB2AB54C0AEF02E17F13D4340,117,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Russell Springs,KY,"Russell Springs, KY",1,37.076955,-85.163454,0101000020E6100000A019C407764A55C0C02154A9D9894240,118,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Russellville,KY,"Russellville, KY",1,36.808879,-87.044027,0101000020E610000006499F56D1C255C0E9B5D95889674240,119,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Salyersville,KY,"Salyersville, KY",1,37.752191,-83.074026,0101000020E610000070438CD7BCC454C03BAC70CB47E04240,120,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Scottsville,KY,"Scottsville, KY",1,36.830372,-86.313109,0101000020E610000054C554FA099455C0CEC133A1496A4240,121,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Shelbyville,KY,"Shelbyville, KY",1,38.212694,-85.237223,0101000020E6100000FAB660A92E4F55C01807978E391B4340,122,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
